message, target,new_label
whos your baby idiot ,2,banter
green is talking shit yall,1,banter
  cis team,0,neutral
pls win,0,neutral
i ate a shit ton of broccoli,1,neutral
my axe cant tank for shit so i gotta step up,1,banter
nice feed retard,2,toxic
useless core,2,neutral
rep this bitch,2,banter
this stupid bull head waits for his teammates to die every time when he hurts ,1,banter
if u reach top     they said,0,neutral
you are so retarded pudge,2,toxic
with his low brain,2,banter
 you talk a lot of shit for someone who hasnt won   ,1,banter
its tough,0,neutral
nice picks sniper,0,neutral
omg topson build,0,neutral
we can t kill jugg,0,neutral
stack reports on lycan,0,neutral
haters,0,neutral
fuck u,2,banter
full force,0,neutral
stupid team,2,banter
can one of you play offlane,0,neutral
whats the animal that keeps shitting on my car then huh ,1,banter
here to save toronto,0,neutral
nice off,0,neutral
stand and fight then bitch,1,banter
did he kill anyone  ,0,neutral
throne,0,neutral
gg this underlord pussy,2,toxic
i hope whoever sees you in ranked picks tinker and mega fucks you,2,banter
ur doing great,0,neutral
watch us lose,0,neutral
low rank animal,2,toxic
fuck yes they are,1,banter
your mother takes my banana,2,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
my   pos is trash,2,neutral
wtf primal ,1,neutral
my fucking,1,banter
u suck pinga with cheese,0,banter
we pushed this series back    mins jsut for you to be able to paly,0,neutral
fuckign hell mate,1,banter
maybe that will work,0,neutral
watch out lads  this qop is farming while you fuck around top ,1,banter
i don t give a fuck,1,banter
bzm also tilted ,0,neutral
cue benny hill music,0,neutral
and he still aint do it,0,banter
gotta have some public decency,0,neutral
i really fuckign tried,1,banter
but this dude dont hahaha,0,neutral
weak ass country,2,banter
caming,0,neutral
hes new,0,neutral
so stupid offlaner ,2,banter
